geneid,SRR599,SRR600,SRR601,SRR602,SRR603,SRR604
FUN_000001,5,7,12,4,15,9
FUN_000002,129,123,128,140,131,124
FUN_000003,2,5,6,1,8,6
FUN_000004,12,4,10,4,6,6
FUN_000005,1970,1977,1939,1876,1523,1512
FUN_000006,11,12,17,12,22,11
FUN_000007,90,103,167,125,122,134
FUN_000008,8,5,7,2,7,0
FUN_000009,13,12,9,10,6,4
FUN_000010,1,0,0,0,1,1
FUN_000011,501,556,597,518,544,539
FUN_000012,1049,1262,1147,976,1080,1074
FUN_000013,92,99,95,72,67,81
FUN_000014,29,45,43,32,41,48
FUN_000015,12,11,17,16,14,11
FUN_000016,0,0,0,0,0,0
FUN_000017,228,264,245,276,241,271
FUN_000018,2,0,0,0,0,0
FUN_000019,0,4,7,2,3,1
FUN_000020,2,4,5,10,5,2
FUN_000021,323,335,330,266,326,285
FUN_000022,108,108,158,126,155,133
FUN_000023,189,224,237,234,212,185
FUN_000024,0,1,2,0,0,3
FUN_000025,143,158,182,120,167,127
FUN_000026,18,39,47,34,42,45
FUN_000027,148,110,473,243,262,325
FUN_000028,107,148,155,128,142,113
FUN_000029,0,0,0,0,0,0
FUN_000030,0,0,0,0,0,0
FUN_000031,107,117,174,140,143,125
FUN_000032,28,19,37,33,27,30
FUN_000033,3,3,5,1,2,0
FUN_000034,150,141,157,159,163,142
FUN_000035,51,61,48,41,49,37
FUN_000036,0,0,0,0,0,0
FUN_000037,1,1,0,1,4,0
FUN_000038,4,2,0,0,1,1
FUN_000039,0,0,0,0,0,2
FUN_000040,0,1,0,0,0,0
FUN_000041,2,0,0,0,0,1
FUN_000042,0,0,1,1,0,0
FUN_000043,1,0,0,0,1,0
FUN_000044,176,199,179,157,185,129
FUN_000045,114,110,121,138,129,103
FUN_000046,297,367,307,283,342,337
FUN_000047,0,2,0,0,0,0
FUN_000048,1,0,0,0,2,0
FUN_000049,10,9,2,7,5,6
FUN_000050,13,10,17,11,12,10
FUN_000051,63,84,94,81,71,64
FUN_000052,168,162,182,150,188,157
FUN_000053,85,95,108,113,126,121
FUN_000054,118,107,106,97,126,108
FUN_000055,257,249,267,237,261,224
FUN_000056,57,63,65,88,65,56
FUN_000057,201,171,176,176,174,162
FUN_000058,191,231,256,220,233,250
FUN_000059,142,158,208,174,186,156
